rank,age,job,marital,balance,actual_churn,score_lr,score_rf,avg_score,risk_segment
60,66,retired,married,4785,0,0.6993,0.295,0.4972,Moderate Risk
61,23,student,single,8494,0,0.7059,0.28,0.493,Moderate Risk
62,33,student,single,5969,0,0.7197,0.265,0.4924,Moderate Risk
63,28,management,single,171,1,0.6269,0.355,0.491,Moderate Risk
64,30,management,single,6495,0,0.612,0.37,0.491,Moderate Risk
65,60,retired,married,197,0,0.7261,0.255,0.4906,Moderate Risk
66,70,retired,married,1164,0,0.6885,0.29,0.4892,Moderate Risk
67,60,retired,married,71188,0,0.7166,0.26,0.4883,Moderate Risk
68,79,retired,married,429,1,0.6732,0.295,0.4841,Moderate Risk
69,70,retired,married,15834,0,0.7478,0.22,0.4839,Moderate Risk
70,32,management,single,347,0,0.6196,0.34,0.4798,Moderate Risk
71,59,retired,divorced,319,0,0.7882,0.17,0.4791,Moderate Risk
72,71,retired,married,4657,1,0.6431,0.315,0.479,Moderate Risk
73,66,admin.,single,10177,0,0.6457,0.31,0.4778,Moderate Risk
74,59,management,married,1831,0,0.598,0.355,0.4765,Moderate Risk
75,27,student,single,8366,0,0.8321,0.12,0.476,Moderate Risk
76,47,management,single,440,0,0.6316,0.32,0.4758,Moderate Risk
77,30,services,single,3485,0,0.5803,0.37,0.4752,Moderate Risk
78,44,admin.,divorced,432,0,0.6436,0.305,0.4743,Moderate Risk
79,54,retired,married,1139,0,0.6746,0.255,0.4648,Moderate Risk
80,41,admin.,single,748,0,0.6914,0.235,0.4632,Moderate Risk
81,25,student,single,1790,0,0.7435,0.18,0.4618,Moderate Risk
82,50,management,divorced,356,0,0.8133,0.11,0.4616,Moderate Risk
83,55,retired,divorced,138,0,0.7914,0.13,0.4607,Moderate Risk
84,46,management,divorced,1297,1,0.6668,0.25,0.4584,Moderate Risk
85,74,retired,married,921,1,0.6851,0.23,0.4576,Moderate Risk
86,27,admin.,married,132,0,0.5272,0.385,0.4561,Moderate Risk
87,28,technician,single,356,0,0.6032,0.3,0.4516,Moderate Risk
88,22,student,single,1161,0,0.5984,0.3,0.4492,Moderate Risk
89,30,technician,single,411,0,0.5925,0.305,0.4488,Moderate Risk
90,44,management,married,1058,1,0.5488,0.345,0.4469,Moderate Risk
91,57,services,divorced,4664,0,0.5878,0.305,0.4464,Moderate Risk
92,26,management,single,1177,0,0.6554,0.235,0.4452,Moderate Risk
93,77,retired,married,610,0,0.7087,0.18,0.4444,Moderate Risk
94,38,technician,single,744,0,0.7283,0.16,0.4442,Moderate Risk
95,32,blue-collar,single,1670,0,0.5029,0.385,0.444,Moderate Risk
96,52,admin.,married,199,0,0.6769,0.205,0.4409,Moderate Risk
97,46,blue-collar,married,4855,0,0.456,0.415,0.4355,Moderate Risk
98,39,services,divorced,282,0,0.5194,0.35,0.4347,Moderate Risk
99,47,housemaid,married,201,0,0.4695,0.395,0.4322,Moderate Risk
100,49,entrepreneur,divorced,32,0,0.6657,0.195,0.4304,Moderate Risk
101,52,services,divorced,238,0,0.7106,0.15,0.4303,Moderate Risk
102,36,entrepreneur,married,6,0,0.5228,0.335,0.4289,Moderate Risk
103,30,student,single,4,0,0.7313,0.125,0.4282,Moderate Risk
104,43,management,married,1429,1,0.6533,0.2,0.4266,Moderate Risk
105,50,management,married,207,0,0.5204,0.33,0.4252,Moderate Risk
106,67,retired,married,701,1,0.7461,0.1,0.423,Moderate Risk
107,57,retired,married,-464,0,0.6588,0.185,0.4219,Moderate Risk
108,33,blue-collar,married,3576,0,0.5838,0.26,0.4219,Moderate Risk
109,46,admin.,divorced,7378,0,0.6686,0.175,0.4218,Moderate Risk
110,52,retired,divorced,353,0,0.7182,0.12,0.4191,Moderate Risk
111,38,management,single,1704,0,0.6874,0.15,0.4187,Moderate Risk
112,19,student,single,0,0,0.6402,0.195,0.4176,Moderate Risk
113,54,management,divorced,3222,0,0.6841,0.15,0.417,Moderate Risk
114,51,self-employed,divorced,10924,0,0.6016,0.23,0.4158,Moderate Risk
115,29,management,single,417,0,0.6411,0.19,0.4156,Moderate Risk
116,81,retired,married,1,0,0.6818,0.14,0.4109,Moderate Risk
117,39,management,married,399,0,0.5715,0.25,0.4108,Moderate Risk
118,25,student,single,1433,0,0.6887,0.13,0.4094,Moderate Risk
119,42,management,married,520,0,0.5933,0.225,0.4092,Moderate Risk
120,65,unknown,married,4717,1,0.5627,0.255,0.4088,Moderate Risk
121,31,management,married,1010,0,0.6456,0.17,0.4078,Moderate Risk
122,25,student,single,1116,0,0.6502,0.165,0.4076,Moderate Risk
123,59,retired,married,1173,0,0.5037,0.31,0.4069,Moderate Risk
124,41,management,single,764,0,0.6245,0.185,0.4048,Moderate Risk
125,31,technician,single,2305,0,0.5893,0.22,0.4046,Moderate Risk
126,34,management,married,3301,1,0.4979,0.31,0.404,Moderate Risk
127,26,management,single,350,0,0.6613,0.145,0.4032,Moderate Risk
128,56,management,divorced,659,0,0.5477,0.255,0.4014,Moderate Risk
129,76,retired,married,2590,0,0.5371,0.265,0.401,Moderate Risk
130,51,management,single,2139,0,0.6712,0.13,0.4006,Moderate Risk
131,31,admin.,married,389,0,0.4958,0.305,0.4004,Moderate Risk
132,29,student,single,2929,0,0.6785,0.12,0.3992,Moderate Risk
133,52,blue-collar,married,2087,1,0.4371,0.36,0.3985,Moderate Risk
134,46,management,single,334,0,0.6665,0.13,0.3982,Moderate Risk
135,35,self-employed,married,980,0,0.591,0.205,0.398,Moderate Risk
136,55,retired,married,159,0,0.6942,0.1,0.3971,Moderate Risk
137,47,technician,married,1167,1,0.4153,0.375,0.3952,Moderate Risk
138,28,student,single,28,0,0.7048,0.085,0.3949,Moderate Risk
139,32,management,married,913,0,0.5195,0.265,0.3922,Moderate Risk
140,42,admin.,single,-247,1,0.5315,0.25,0.3908,Moderate Risk
141,31,technician,single,1970,0,0.5112,0.27,0.3906,Moderate Risk
142,42,technician,married,782,0,0.5268,0.25,0.3884,Moderate Risk
143,58,retired,married,4007,0,0.6315,0.145,0.3882,Moderate Risk
144,44,management,divorced,0,0,0.6902,0.085,0.3876,Moderate Risk
145,39,management,single,416,0,0.6251,0.15,0.3876,Moderate Risk
146,41,admin.,divorced,1088,0,0.574,0.2,0.387,Moderate Risk
147,23,student,single,1021,0,0.5931,0.18,0.3865,Moderate Risk
148,52,unknown,married,142,0,0.5472,0.225,0.3861,Moderate Risk
149,54,housemaid,married,0,0,0.597,0.175,0.386,Moderate Risk
150,40,services,married,17,0,0.4941,0.275,0.3846,Moderate Risk
151,55,entrepreneur,married,8104,0,0.5491,0.22,0.3846,Moderate Risk
152,29,blue-collar,married,15,0,0.4914,0.275,0.3832,Moderate Risk
153,39,admin.,married,722,0,0.5385,0.225,0.3818,Moderate Risk
154,35,management,married,724,1,0.4634,0.3,0.3817,Moderate Risk
155,41,technician,married,0,0,0.4814,0.28,0.3807,Moderate Risk
156,28,self-employed,single,4579,1,0.6302,0.13,0.3801,Moderate Risk
157,57,retired,married,31,0,0.7234,0.035,0.3792,Moderate Risk
158,38,management,single,5244,0,0.6397,0.115,0.3774,Moderate Risk
159,33,management,single,0,0,0.6191,0.135,0.377,Moderate Risk
160,41,housemaid,divorced,22,0,0.6888,0.065,0.3769,Moderate Risk
161,37,admin.,single,2317,0,0.6116,0.14,0.3758,Moderate Risk
162,42,management,married,-34,0,0.624,0.125,0.3745,Moderate Risk
163,54,retired,divorced,0,1,0.6519,0.095,0.3734,Moderate Risk
164,51,management,married,630,0,0.5152,0.23,0.3726,Moderate Risk
165,53,services,divorced,4554,0,0.559,0.185,0.372,Moderate Risk
166,55,management,married,236,0,0.6026,0.14,0.3713,Moderate Risk
167,35,management,single,2975,0,0.6615,0.08,0.3707,Moderate Risk
168,60,unknown,married,7337,0,0.5861,0.155,0.3706,Moderate Risk
169,34,admin.,single,296,0,0.6101,0.13,0.37,Moderate Risk
170,33,admin.,single,894,0,0.639,0.1,0.3695,Moderate Risk
171,55,management,divorced,481,0,0.6182,0.12,0.3691,Moderate Risk
172,31,management,married,623,0,0.5076,0.23,0.3688,Moderate Risk
173,33,technician,single,5235,0,0.561,0.175,0.368,Moderate Risk
174,30,management,married,3134,0,0.48,0.255,0.3675,Moderate Risk
175,34,blue-collar,single,464,0,0.6293,0.105,0.3671,Moderate Risk
176,57,retired,divorced,-331,0,0.5586,0.175,0.3668,Moderate Risk
177,27,services,single,-1,0,0.6222,0.11,0.3661,Moderate Risk
178,39,technician,single,1190,0,0.626,0.105,0.3655,Moderate Risk
179,27,technician,single,808,0,0.6752,0.055,0.3651,Moderate Risk
180,34,management,single,4348,0,0.4799,0.25,0.365,Moderate Risk
181,49,management,divorced,755,1,0.6294,0.1,0.3647,Moderate Risk
182,38,admin.,single,-23,0,0.6321,0.095,0.3636,Moderate Risk
183,34,management,married,606,1,0.5514,0.175,0.3632,Moderate Risk
184,33,management,single,335,0,0.6064,0.12,0.3632,Moderate Risk
185,37,management,single,9,0,0.6407,0.085,0.3628,Moderate Risk
186,37,technician,single,3315,0,0.5289,0.195,0.362,Moderate Risk
187,31,management,married,22546,0,0.4487,0.275,0.3618,Moderate Risk
188,35,housemaid,divorced,39,0,0.6231,0.1,0.3616,Moderate Risk
189,55,retired,married,168,0,0.6926,0.03,0.3613,Moderate Risk
190,40,blue-collar,married,1451,1,0.5071,0.215,0.361,Moderate Risk
191,72,retired,married,763,1,0.667,0.055,0.361,Moderate Risk
192,58,retired,married,235,0,0.6616,0.06,0.3608,Moderate Risk
193,61,retired,married,76,0,0.5657,0.155,0.3604,Moderate Risk
194,40,admin.,single,-1,0,0.6555,0.065,0.3602,Moderate Risk
195,47,technician,married,72,0,0.2691,0.45,0.3596,Moderate Risk
196,30,services,single,566,0,0.5891,0.13,0.3596,Moderate Risk
197,32,management,single,574,0,0.5932,0.125,0.3591,Moderate Risk
198,53,retired,married,665,1,0.6121,0.105,0.3586,Moderate Risk
199,27,services,single,-151,0,0.5669,0.15,0.3584,Moderate Risk
200,33,blue-collar,single,697,1,0.5858,0.13,0.3579,Moderate Risk
201,48,management,single,414,0,0.6554,0.06,0.3577,Moderate Risk
202,44,technician,single,33,0,0.545,0.17,0.3575,Moderate Risk
203,30,unemployed,single,302,1,0.4788,0.235,0.3569,Moderate Risk
204,55,retired,married,3334,1,0.6434,0.07,0.3567,Moderate Risk
205,57,retired,married,75,0,0.653,0.06,0.3565,Moderate Risk
206,31,blue-collar,single,1882,0,0.5776,0.135,0.3563,Moderate Risk
207,54,management,married,2819,0,0.5711,0.14,0.3556,Moderate Risk
208,44,self-employed,single,2734,1,0.5388,0.17,0.3544,Moderate Risk
209,36,management,married,9324,0,0.3737,0.335,0.3544,Moderate Risk
210,37,technician,single,3665,1,0.5584,0.15,0.3542,Moderate Risk
211,34,management,single,6766,0,0.5972,0.11,0.3536,Moderate Risk
212,26,services,single,5533,0,0.5219,0.185,0.3535,Moderate Risk
213,32,management,single,2,1,0.5856,0.12,0.3528,Moderate Risk
214,43,self-employed,single,0,0,0.4353,0.27,0.3526,Moderate Risk
215,55,retired,married,-966,0,0.5099,0.195,0.3525,Moderate Risk
216,34,management,divorced,291,0,0.64,0.065,0.3525,Moderate Risk
217,26,admin.,single,443,0,0.5851,0.12,0.3525,Moderate Risk
218,58,housemaid,married,2705,0,0.5497,0.155,0.3524,Moderate Risk
219,39,admin.,divorced,83,0,0.4948,0.205,0.3499,Low Risk
220,37,services,divorced,260,0,0.4642,0.235,0.3496,Low Risk
221,45,blue-collar,divorced,942,0,0.5779,0.12,0.349,Low Risk
222,52,services,single,1810,0,0.5772,0.115,0.3461,Low Risk
223,33,services,married,478,1,0.4364,0.255,0.3457,Low Risk
224,37,management,single,509,0,0.6013,0.09,0.3456,Low Risk
225,56,housemaid,divorced,1238,1,0.5258,0.165,0.3454,Low Risk
226,58,retired,married,225,0,0.6606,0.03,0.3453,Low Risk
227,66,management,married,1048,0,0.4955,0.195,0.3452,Low Risk
228,57,management,married,0,0,0.4689,0.22,0.3444,Low Risk
229,32,management,divorced,874,1,0.612,0.075,0.3435,Low Risk
230,35,management,married,2682,0,0.4963,0.19,0.3432,Low Risk
231,54,blue-collar,divorced,-182,0,0.5951,0.09,0.3425,Low Risk
232,39,admin.,single,0,0,0.5043,0.18,0.3421,Low Risk
233,53,retired,married,-22,0,0.624,0.06,0.342,Low Risk
234,33,management,single,1998,0,0.6631,0.02,0.3416,Low Risk
235,48,admin.,married,112,0,0.4974,0.185,0.3412,Low Risk
236,30,blue-collar,single,6900,0,0.5855,0.095,0.3402,Low Risk
237,37,management,single,37,0,0.6391,0.04,0.3396,Low Risk
238,33,admin.,single,2557,0,0.5588,0.12,0.3394,Low Risk
239,32,services,single,6145,0,0.5068,0.17,0.3384,Low Risk
240,32,admin.,single,678,1,0.6103,0.065,0.3376,Low Risk
241,49,unknown,married,0,0,0.5948,0.08,0.3374,Low Risk
242,34,technician,married,1539,1,0.5743,0.1,0.3372,Low Risk
243,33,blue-collar,married,26,0,0.5314,0.14,0.3357,Low Risk
244,46,management,married,964,0,0.5058,0.165,0.3354,Low Risk
245,33,management,single,201,0,0.6052,0.065,0.3351,Low Risk
246,54,services,married,386,0,0.4296,0.24,0.3348,Low Risk
247,47,blue-collar,married,2548,0,0.5847,0.085,0.3348,Low Risk
248,38,admin.,married,4196,0,0.4546,0.215,0.3348,Low Risk
249,35,unknown,married,634,0,0.5697,0.1,0.3348,Low Risk
250,60,blue-collar,married,1801,0,0.4768,0.19,0.3334,Low Risk
251,37,admin.,single,-296,0,0.56,0.105,0.3325,Low Risk
252,45,admin.,married,204,1,0.4748,0.19,0.3324,Low Risk
253,43,blue-collar,married,2519,0,0.5543,0.11,0.3322,Low Risk
254,31,technician,divorced,202,0,0.5038,0.16,0.3319,Low Risk
255,55,unemployed,married,4809,0,0.4988,0.165,0.3319,Low Risk
256,36,management,single,553,0,0.6582,0.005,0.3316,Low Risk
257,31,management,single,112,0,0.608,0.055,0.3315,Low Risk
258,32,student,married,1694,0,0.5573,0.105,0.3312,Low Risk
259,58,retired,married,35,0,0.6172,0.045,0.3311,Low Risk
260,37,entrepreneur,single,20453,0,0.5471,0.115,0.331,Low Risk
261,35,housemaid,married,1265,1,0.472,0.19,0.331,Low Risk
262,49,technician,divorced,0,0,0.5366,0.125,0.3308,Low Risk
263,35,entrepreneur,married,0,0,0.5958,0.065,0.3304,Low Risk
264,46,technician,married,405,0,0.4995,0.16,0.3298,Low Risk
265,31,blue-collar,single,2488,0,0.4645,0.195,0.3298,Low Risk
266,44,self-employed,married,313,0,0.4893,0.17,0.3296,Low Risk
267,47,management,married,1890,0,0.5859,0.07,0.3279,Low Risk
268,42,management,divorced,221,0,0.3949,0.26,0.3274,Low Risk
269,26,admin.,single,609,0,0.5937,0.06,0.3268,Low Risk
270,27,management,single,212,0,0.5785,0.075,0.3268,Low Risk
271,38,management,married,223,0,0.5531,0.1,0.3266,Low Risk
272,32,management,single,537,0,0.4031,0.25,0.3266,Low Risk
273,55,self-employed,married,203,0,0.5727,0.08,0.3263,Low Risk
274,26,management,single,63,0,0.5626,0.09,0.3263,Low Risk
275,27,services,single,795,0,0.557,0.095,0.326,Low Risk
276,28,management,single,0,1,0.5267,0.125,0.3258,Low Risk
277,35,student,single,0,0,0.6144,0.035,0.3247,Low Risk
278,35,management,single,0,0,0.5814,0.065,0.3232,Low Risk
279,28,management,single,1466,0,0.5708,0.075,0.3229,Low Risk
280,28,self-employed,single,0,0,0.5537,0.09,0.3218,Low Risk
281,40,management,married,51,0,0.5524,0.09,0.3212,Low Risk
282,38,management,single,0,0,0.5864,0.055,0.3207,Low Risk
283,58,management,divorced,1573,0,0.4656,0.175,0.3203,Low Risk
284,34,entrepreneur,married,1847,0,0.4685,0.17,0.3193,Low Risk
285,55,blue-collar,married,1086,0,0.428,0.21,0.319,Low Risk
286,29,management,single,4210,0,0.5779,0.06,0.3189,Low Risk
287,36,admin.,single,1281,0,0.5924,0.045,0.3187,Low Risk
288,53,admin.,divorced,26,0,0.6263,0.01,0.3182,Low Risk
289,40,services,married,1438,0,0.4407,0.195,0.3178,Low Risk
290,27,unemployed,single,1,0,0.5001,0.135,0.3176,Low Risk
291,30,management,married,931,0,0.5548,0.08,0.3174,Low Risk
292,57,management,married,3250,0,0.5573,0.075,0.3162,Low Risk
293,59,technician,married,1,1,0.5122,0.12,0.3161,Low Risk
294,41,blue-collar,married,121,0,0.5163,0.115,0.3156,Low Risk
295,34,management,married,703,1,0.484,0.145,0.3145,Low Risk
296,38,unemployed,single,0,0,0.5086,0.12,0.3143,Low Risk
297,39,unknown,single,914,0,0.5171,0.11,0.3136,Low Risk
298,41,technician,married,1066,1,0.4567,0.17,0.3134,Low Risk
299,49,management,divorced,1405,0,0.4914,0.135,0.3132,Low Risk
300,46,technician,divorced,-90,1,0.4096,0.215,0.3123,Low Risk
301,38,management,married,950,0,0.5691,0.055,0.3121,Low Risk
302,36,blue-collar,single,168,0,0.4889,0.135,0.312,Low Risk
303,36,technician,married,480,1,0.4738,0.15,0.3119,Low Risk
304,58,management,married,3228,0,0.5736,0.05,0.3118,Low Risk
305,38,management,divorced,0,0,0.4927,0.13,0.3114,Low Risk
306,60,unemployed,divorced,385,0,0.4519,0.17,0.311,Low Risk
307,34,management,single,8038,0,0.567,0.055,0.311,Low Risk
308,33,blue-collar,single,22,0,0.5716,0.05,0.3108,Low Risk
309,32,management,single,787,0,0.5461,0.075,0.3106,Low Risk
310,50,management,married,85,0,0.4258,0.195,0.3104,Low Risk
311,31,management,single,1494,0,0.5153,0.105,0.3102,Low Risk
312,36,management,single,2944,1,0.5704,0.05,0.3102,Low Risk
313,33,admin.,married,640,0,0.5601,0.06,0.3101,Low Risk
314,32,technician,married,4089,0,0.4291,0.19,0.3096,Low Risk
315,32,services,single,48,0,0.4634,0.155,0.3092,Low Risk
316,41,management,married,2885,0,0.5733,0.045,0.3092,Low Risk
317,31,technician,single,23,0,0.5678,0.05,0.3089,Low Risk
318,39,management,divorced,355,0,0.5425,0.075,0.3087,Low Risk
319,58,management,married,16264,0,0.5456,0.07,0.3078,Low Risk
320,56,management,married,15520,0,0.5949,0.02,0.3074,Low Risk
321,49,services,married,400,0,0.4595,0.155,0.3073,Low Risk
322,48,management,married,866,0,0.5493,0.065,0.3072,Low Risk
323,36,management,married,1318,0,0.489,0.125,0.307,Low Risk
324,26,housemaid,married,-759,0,0.4637,0.15,0.3068,Low Risk
325,43,services,divorced,0,0,0.5385,0.075,0.3067,Low Risk
326,42,blue-collar,divorced,0,0,0.5361,0.075,0.3056,Low Risk
327,38,entrepreneur,married,170,1,0.4797,0.13,0.3048,Low Risk
328,47,admin.,married,2,0,0.5596,0.05,0.3048,Low Risk
329,43,management,married,2886,0,0.5742,0.035,0.3046,Low Risk
330,46,management,single,593,0,0.5619,0.045,0.3034,Low Risk
331,59,management,married,1727,1,0.4608,0.145,0.3029,Low Risk
332,31,entrepreneur,married,5191,0,0.5445,0.06,0.3022,Low Risk
333,56,retired,married,1333,0,0.5238,0.08,0.3019,Low Risk
334,26,management,married,265,0,0.5229,0.08,0.3014,Low Risk
335,50,blue-collar,married,2142,0,0.5178,0.085,0.3014,Low Risk
336,30,admin.,married,400,0,0.5,0.1,0.3,Low Risk
337,35,self-employed,married,670,0,0.514,0.085,0.2995,Low Risk
338,61,retired,married,1060,0,0.4036,0.195,0.2993,Low Risk
339,33,technician,married,359,0,0.5381,0.06,0.2991,Low Risk
340,30,blue-collar,single,445,0,0.5279,0.07,0.299,Low Risk
341,37,technician,divorced,23,0,0.5723,0.025,0.2987,Low Risk
342,37,admin.,married,11303,0,0.5123,0.085,0.2986,Low Risk
343,41,technician,divorced,52,0,0.5767,0.02,0.2984,Low Risk
344,26,services,single,256,0,0.4919,0.105,0.2984,Low Risk
345,42,entrepreneur,married,0,0,0.5755,0.02,0.2978,Low Risk
346,38,technician,single,0,0,0.5854,0.01,0.2977,Low Risk
347,27,admin.,married,-517,0,0.504,0.09,0.297,Low Risk
348,39,admin.,single,163,0,0.5432,0.05,0.2966,Low Risk
349,38,blue-collar,married,2008,0,0.4182,0.175,0.2966,Low Risk
350,31,management,married,6290,0,0.5479,0.045,0.2965,Low Risk
351,46,admin.,married,96,0,0.4926,0.1,0.2963,Low Risk
352,31,technician,single,-162,0,0.5226,0.07,0.2963,Low Risk
353,51,services,married,867,0,0.447,0.145,0.296,Low Risk
354,31,technician,single,4888,0,0.4563,0.135,0.2956,Low Risk
355,52,management,married,-1224,0,0.471,0.12,0.2955,Low Risk
356,33,blue-collar,married,331,0,0.4997,0.09,0.2948,Low Risk
357,52,unknown,married,247,0,0.5036,0.085,0.2943,Low Risk
358,32,management,single,131,0,0.4386,0.15,0.2943,Low Risk
359,34,technician,single,174,0,0.5079,0.08,0.294,Low Risk
360,34,admin.,single,846,0,0.5471,0.04,0.2936,Low Risk
361,39,technician,married,994,0,0.5067,0.08,0.2934,Low Risk
362,47,management,married,286,0,0.4864,0.1,0.2932,Low Risk
363,38,technician,married,3234,1,0.5009,0.085,0.293,Low Risk
364,33,services,married,0,0,0.2804,0.305,0.2927,Low Risk
365,49,unemployed,divorced,66,0,0.479,0.105,0.292,Low Risk
366,50,blue-collar,married,579,0,0.4485,0.135,0.2918,Low Risk
367,37,blue-collar,divorced,511,0,0.4684,0.115,0.2917,Low Risk
368,41,self-employed,married,231,1,0.5476,0.035,0.2913,Low Risk
369,53,technician,married,65,0,0.4675,0.115,0.2912,Low Risk
370,31,management,married,625,0,0.4669,0.115,0.291,Low Risk
371,57,admin.,married,-967,0,0.3766,0.205,0.2908,Low Risk
372,35,admin.,single,847,0,0.5559,0.025,0.2904,Low Risk
373,35,blue-collar,married,305,0,0.4537,0.125,0.2894,Low Risk
374,43,management,married,13044,0,0.5333,0.045,0.2892,Low Risk
375,34,technician,single,943,0,0.5174,0.06,0.2887,Low Risk
376,57,services,married,10,0,0.4916,0.085,0.2883,Low Risk
377,43,management,married,690,0,0.4841,0.09,0.287,Low Risk
378,34,technician,single,440,0,0.5187,0.055,0.2869,Low Risk
379,43,blue-collar,married,130,0,0.5331,0.04,0.2866,Low Risk
380,39,blue-collar,single,6,0,0.4723,0.1,0.2862,Low Risk
381,30,blue-collar,single,4,0,0.336,0.235,0.2855,Low Risk
382,34,admin.,married,96,0,0.5087,0.06,0.2844,Low Risk
383,40,technician,married,1270,0,0.4568,0.11,0.2834,Low Risk
384,58,management,divorced,1533,0,0.4768,0.09,0.2834,Low Risk
385,55,blue-collar,married,3873,0,0.4359,0.13,0.283,Low Risk
386,32,admin.,single,116,0,0.4546,0.11,0.2823,Low Risk
387,26,services,single,209,0,0.4718,0.09,0.2809,Low Risk
388,59,management,single,671,0,0.4218,0.14,0.2809,Low Risk
389,36,technician,single,0,0,0.4913,0.07,0.2806,Low Risk
390,32,services,single,152,1,0.4705,0.09,0.2802,Low Risk
391,34,housemaid,married,2929,1,0.4997,0.06,0.2798,Low Risk
392,40,self-employed,married,642,0,0.5229,0.035,0.279,Low Risk
393,54,management,divorced,1295,0,0.4918,0.065,0.2784,Low Risk
394,32,technician,single,259,0,0.556,0.0,0.278,Low Risk
395,32,housemaid,married,357,0,0.4908,0.065,0.2779,Low Risk
396,42,entrepreneur,married,149,0,0.4804,0.075,0.2777,Low Risk
397,52,management,married,0,0,0.5149,0.04,0.2775,Low Risk
398,30,technician,single,6619,0,0.4291,0.125,0.277,Low Risk
399,47,entrepreneur,married,668,0,0.5037,0.05,0.2769,Low Risk
400,51,management,married,712,0,0.4682,0.085,0.2766,Low Risk
401,34,blue-collar,married,2542,0,0.4071,0.145,0.276,Low Risk
402,29,technician,single,2485,0,0.4965,0.055,0.2758,Low Risk
